id,date,happy
4,9/13/2019 12:54,1
5,9/13/2019 12:55,0
6,9/13/2019 13:01,0
7,9/13/2019 13:01,0
8,9/13/2019 13:09,0
9,9/13/2019 13:13,0
10,9/13/2019 14:53,1
11,9/13/2019 16:20,0
12,9/13/2019 16:37,1
13,9/13/2019 17:31,0
14,9/13/2019 17:45,0
15,9/13/2019 17:48,0
16,9/13/2019 17:48,1
17,9/13/2019 17:48,1
18,9/13/2019 17:49,1
19,9/13/2019 18:01,1
20,9/13/2019 18:03,1
21,9/13/2019 18:20,0
22,9/13/2019 18:20,0
23,9/18/2019 9:05,0
24,9/18/2019 11:43,1
25,9/18/2019 11:43,0
26,9/18/2019 12:38,1
27,9/18/2019 12:50,1
28,9/18/2019 12:59,1
29,9/18/2019 13:17,1
30,9/18/2019 13:17,1
31,9/18/2019 13:20,0
32,9/18/2019 14:47,1
33,9/18/2019 14:48,1
34,9/18/2019 14:53,1
35,9/18/2019 14:55,1
36,9/18/2019 14:56,1
37,9/18/2019 14:58,1
38,9/18/2019 16:40,1
39,9/18/2019 16:40,0
40,9/18/2019 16:55,0
41,9/18/2019 17:41,1
42,9/18/2019 17:49,1
43,9/18/2019 17:49,0
44,9/18/2019 17:50,0
45,9/18/2019 17:55,0
46,9/18/2019 17:56,1
47,9/18/2019 17:57,0
48,9/18/2019 17:57,1
49,9/18/2019 17:58,0
50,9/18/2019 17:58,0
51,9/18/2019 17:59,1
52,9/18/2019 17:59,1
53,9/18/2019 17:59,0
54,9/18/2019 17:59,0
55,9/18/2019 18:02,1
56,9/18/2019 18:16,0
57,9/18/2019 18:26,0
58,9/18/2019 18:29,1
59,9/18/2019 18:40,0
60,9/18/2019 18:48,1
61,9/18/2019 18:49,1
62,9/18/2019 18:49,1
63,9/18/2019 18:49,0
64,9/18/2019 18:49,0
65,9/18/2019 18:49,0
66,9/18/2019 18:49,0
67,9/18/2019 18:49,0
68,9/18/2019 18:50,1
69,9/18/2019 19:45,1
70,9/18/2019 20:39,1
71,9/18/2019 21:02,0
72,9/18/2019 21:02,1
73,9/18/2019 21:02,1
74,9/18/2019 21:05,1
75,9/18/2019 21:06,1
76,9/18/2019 21:09,0
77,9/20/2019 11:37,1
78,9/20/2019 12:44,1
79,9/20/2019 12:49,1
80,9/20/2019 12:49,1
81,9/20/2019 13:00,1
82,9/20/2019 13:01,1
83,9/20/2019 13:01,1
84,9/20/2019 13:01,0
85,9/20/2019 13:01,1
86,9/20/2019 13:01,1
87,9/20/2019 13:09,1
88,9/20/2019 13:11,0
89,9/20/2019 13:12,1
90,9/20/2019 13:15,1
91,9/20/2019 13:31,1
92,9/20/2019 14:02,0
93,9/20/2019 14:13,1
94,9/20/2019 14:15,0
95,9/20/2019 14:15,0
96,9/20/2019 14:15,1
97,9/20/2019 14:15,0
98,9/20/2019 14:43,0
99,9/20/2019 14:43,1
100,9/20/2019 14:44,0
101,9/20/2019 14:52,0
102,9/20/2019 14:53,1
103,9/20/2019 14:53,0
104,9/20/2019 14:55,1
105,9/20/2019 14:55,0
106,9/20/2019 14:55,1
107,9/20/2019 14:55,1
108,9/20/2019 14:55,1
109,9/20/2019 15:46,1
110,9/20/2019 16:06,0
111,9/20/2019 16:54,1
112,9/20/2019 18:22,1
113,9/20/2019 18:23,1
114,9/20/2019 18:23,0
115,9/20/2019 18:26,0
116,9/20/2019 18:32,0
117,9/20/2019 18:33,0
118,9/20/2019 18:38,1
119,9/20/2019 18:41,1
120,9/20/2019 18:41,1
121,9/20/2019 18:43,0
122,9/20/2019 18:45,1
123,9/20/2019 18:45,0
124,9/20/2019 18:45,0
125,9/20/2019 18:52,1
126,9/20/2019 18:58,1
127,9/20/2019 18:58,1
128,9/20/2019 18:58,1
129,9/20/2019 18:58,1
130,9/20/2019 18:58,1
131,9/20/2019 19:02,0
132,9/20/2019 19:24,1
133,9/20/2019 20:00,0
134,9/20/2019 20:33,1
135,9/20/2019 20:42,0
136,9/20/2019 20:42,0
137,9/20/2019 20:42,0
138,9/20/2019 20:42,0
139,9/20/2019 20:42,0
140,9/20/2019 20:42,1
141,9/20/2019 20:42,1
142,9/20/2019 20:42,0
143,9/20/2019 20:44,1
144,9/20/2019 20:55,1
145,9/20/2019 20:55,0
146,9/20/2019 20:55,1
147,9/20/2019 20:57,0
148,9/20/2019 20:57,1
149,9/25/2019 13:29,1
150,9/25/2019 13:37,0
151,9/25/2019 13:41,1
152,9/25/2019 14:45,1
153,9/25/2019 14:58,1
154,9/25/2019 14:58,1
155,9/25/2019 14:58,1
156,9/25/2019 14:58,1
157,9/25/2019 14:58,1
158,9/25/2019 14:59,1
159,9/25/2019 14:59,1
160,9/25/2019 15:00,0
161,9/25/2019 15:00,1
162,9/25/2019 15:00,1
163,9/25/2019 15:00,1
164,9/25/2019 15:00,1
165,9/25/2019 15:00,0
166,9/25/2019 15:00,0
167,9/25/2019 15:00,0
168,9/25/2019 15:00,1
169,9/25/2019 15:01,0
170,9/25/2019 15:01,0
171,9/25/2019 15:01,1
172,9/25/2019 15:01,1
173,9/25/2019 15:01,1
174,9/25/2019 15:01,1
175,9/25/2019 15:01,1
176,9/25/2019 15:01,1
177,9/25/2019 15:01,1
178,9/25/2019 15:01,1
179,9/25/2019 15:01,1
180,9/25/2019 15:01,1
181,9/25/2019 15:01,1
182,9/25/2019 15:01,1
183,9/25/2019 15:01,0
184,9/25/2019 15:01,0
185,9/25/2019 15:02,1
186,9/25/2019 15:02,1
187,9/25/2019 15:02,1
188,9/25/2019 15:12,1
189,9/25/2019 15:12,1
190,9/25/2019 15:17,1
191,9/25/2019 15:29,1
192,9/25/2019 15:29,1
193,9/25/2019 15:29,1
194,9/25/2019 15:29,1
195,9/25/2019 15:29,1
196,9/25/2019 15:46,1
197,9/25/2019 15:46,1
198,9/25/2019 15:47,0
199,9/25/2019 15:48,1
200,9/25/2019 15:52,1
201,9/25/2019 15:52,1
202,9/25/2019 15:52,1
203,9/25/2019 15:59,1
204,9/25/2019 16:00,1
205,9/25/2019 16:00,1
206,9/25/2019 16:00,1
207,9/25/2019 16:00,0
208,9/25/2019 16:00,1
209,9/25/2019 16:01,1
210,9/25/2019 16:01,1
211,9/25/2019 16:04,0
212,9/25/2019 16:04,0
213,9/25/2019 16:10,0
214,9/25/2019 16:11,0
215,9/25/2019 16:21,1
216,9/25/2019 16:36,1
217,9/25/2019 16:38,0
218,9/25/2019 16:39,1
219,9/25/2019 16:47,1
220,9/25/2019 17:15,0
221,9/25/2019 17:51,0
222,9/25/2019 17:51,0
223,9/25/2019 17:51,0
224,9/25/2019 17:51,0
225,9/25/2019 17:52,0
226,9/25/2019 17:57,0
227,9/25/2019 17:58,1
228,9/25/2019 17:58,1
229,9/25/2019 17:58,1
230,9/25/2019 17:58,1
231,9/25/2019 17:58,0
232,9/25/2019 17:59,1
233,9/25/2019 17:59,0
234,9/25/2019 17:59,1
235,9/25/2019 17:59,1
236,9/25/2019 17:59,1
237,9/25/2019 17:59,1
238,9/25/2019 17:59,1
239,9/25/2019 17:59,1
240,9/25/2019 18:00,0
241,9/25/2019 18:00,0
242,9/25/2019 18:00,1
243,9/25/2019 18:00,0
244,9/25/2019 18:00,1
245,9/25/2019 18:00,0
246,9/25/2019 18:18,1
247,9/25/2019 18:19,0
248,9/25/2019 18:20,1
249,9/25/2019 18:21,1
250,9/25/2019 18:24,0
251,9/25/2019 18:25,1
252,9/25/2019 18:29,0
253,9/25/2019 18:29,0
254,9/25/2019 18:29,0
255,9/25/2019 18:29,0
256,9/25/2019 18:29,0
257,9/25/2019 18:29,0
258,9/25/2019 18:30,0
259,9/25/2019 18:30,0
260,9/25/2019 18:30,0
261,9/25/2019 18:30,0
262,9/25/2019 18:30,0
263,9/25/2019 18:30,0
264,9/25/2019 18:30,0
265,9/25/2019 18:30,0
266,9/25/2019 18:30,1
267,9/25/2019 18:30,1
268,9/25/2019 18:30,0
269,9/25/2019 18:30,0
270,9/25/2019 18:30,0
271,9/25/2019 18:30,0
272,9/25/2019 18:30,1
273,9/25/2019 18:30,1
274,9/25/2019 18:31,0
275,9/25/2019 18:31,0
276,9/25/2019 18:31,0
277,9/25/2019 18:31,0
278,9/25/2019 18:31,0
279,9/25/2019 18:31,0
280,9/25/2019 18:31,0
281,9/25/2019 18:31,0
282,9/25/2019 18:31,0
283,9/25/2019 18:31,0
284,9/25/2019 18:31,0
285,9/25/2019 18:31,0
286,9/25/2019 18:31,0
287,9/25/2019 18:31,0
288,9/25/2019 18:31,0
289,9/25/2019 18:31,0
290,9/25/2019 18:31,0
291,9/25/2019 18:31,0
292,9/25/2019 18:31,0
293,9/25/2019 18:31,0
294,9/25/2019 18:31,0
295,9/25/2019 18:32,0
296,9/25/2019 18:32,0
297,9/25/2019 18:32,0
298,9/25/2019 18:32,0
299,9/25/2019 18:32,0
300,9/25/2019 18:32,0
301,9/25/2019 18:32,0
302,9/25/2019 18:32,0
303,9/25/2019 18:32,0
304,9/25/2019 18:32,0
305,9/25/2019 18:32,0
306,9/25/2019 18:32,0
307,9/25/2019 18:32,0
308,9/25/2019 18:32,0
309,9/25/2019 18:32,0
310,9/25/2019 18:32,0
311,9/25/2019 18:32,0
312,9/25/2019 18:32,0
313,9/25/2019 18:32,0
314,9/25/2019 18:32,0
315,9/25/2019 18:32,0
316,9/25/2019 18:32,0
317,9/25/2019 18:32,0
318,9/25/2019 18:32,0
319,9/25/2019 18:32,0
320,9/25/2019 18:32,0
321,9/25/2019 18:32,1
322,9/25/2019 18:32,0
323,9/25/2019 18:32,0
324,9/25/2019 18:32,0
325,9/25/2019 18:32,0
326,9/25/2019 18:32,0
327,9/25/2019 18:32,0
328,9/25/2019 18:37,1
329,9/25/2019 18:41,0
330,9/25/2019 18:48,0
331,9/25/2019 18:52,0
332,9/25/2019 18:52,0
333,9/25/2019 18:52,1
334,9/25/2019 18:52,1
335,9/25/2019 18:52,1
336,9/25/2019 18:52,1
337,9/25/2019 18:52,1
338,9/25/2019 18:52,1
339,9/25/2019 18:52,1
340,9/25/2019 18:52,1
341,9/25/2019 18:57,1
